Date,Person_ID,Age,Gender,Total_Sleep_Hours,Sleep_Quality,Exercise_Mins_Day,Caffeine_Intake,Screen_Time_Before_Bed,Work_Hours,Productivity_Score,Mood_Score,Stress_Level
2024-06-07,7371,41,Other,525,4,75,172,129,4,3,3,4
2024-10-18,1793,44,Male,93,8,37,133,22,7,10,8,2
2024-04-20,1827,29,Male,804,10,30,50,28,4,9,6,7
2024-09-13,6732,38,Female,512,9,0,54,114,8,5,9,5
2024-05-16,9393,43,Male,719,6,1,209,161,1,3,6,8
2024-01-25,2990,23,Male,631,6,25,155,113,9,7,1,4
2024-12-26,1688,37,Female,718,8,48,256,140,7,3,8,3
2024-11-13,3079,47,Male,639,8,18,17,0,1,2,2,6
2024-04-22,6797,21,Male,488,3,31,265,109,8,1,7,7
2024-10-14,4462,46,Male,577,7,58,254,71,4,5,3,3
2024-04-06,4675,25,Female,944,8,45,164,141,6,2,7,10
2024-09-19,3198,38,Other,742,2,1,196,147,6,2,3,7
2024-04-28,5491,37,Male,837,9,52,279,80,1,8,7,1
2024-04-24,3573,26,Female,579,6,21,234,3,5,2,7,5
2024-03-15,7981,35,Male,699,2,16,164,152,7,7,5,10
2024-12-07,3074,48,Female,575,9,52,172,144,7,10,2,6
2024-12-28,3866,53,Other,645,8,10,163,112,9,8,3,6
2024-04-07,5150,41,Female,692,10,35,238,147,5,4,1,2
2024-07-19,1153,19,Male,626,1,88,60,170,8,9,7,3
2024-05-10,2252,47,Female,63,1,60,16,73,9,1,8,3
2024-09-20,3708,34,Other,769,8,24,88,11,5,10,9,10
2024-02-16,5873,33,Other,728,6,6,269,78,9,9,3,8
2024-11-10,2500,35,Other,872,2,58,102,16,9,8,3,2
2024-05-10,3983,43,Other,736,8,3,209,160,1,10,2,7
2024-08-14,4241,51,Female,543,2,31,95,122,1,4,1,5
2024-08-23,1271,27,Female,711,1,48,2,172,6,2,4,2
2024-10-19,8832,18,Male,664,1,87,139,36,1,6,7,8
2024-11-14,9202,30,Female,946,8,19,62,53,8,10,2,9
2024-08-05,1936,20,Female,765,7,48,8,98,8,1,10,3
2024-06-26,8312,41,Other,562,8,88,67,141,1,9,8,3
2024-05-02,2218,42,Female,855,8,24,260,138,4,8,6,8
2024-09-07,4972,43,Female,56,5,76,80,113,7,3,10,3
2024-02-25,7183,44,Male,889,3,79,167,91,1,9,9,5
2024-06-18,5286,44,Female,891,10,30,22,169,5,5,7,2
2024-12-21,9780,46,Other,492,1,16,222,97,9,8,3,6
2024-03-14,6352,49,Female,766,5,21,195,147,9,2,4,1
2024-01-12,9073,18,Female,473,2,13,191,174,1,4,3,4
2024-01-07,9220,28,Male,694,3,74,57,25,5,2,4,1
2024-04-08,7540,58,Other,863,4,31,129,174,9,6,3,1
2024-08-23,1988,38,Other,769,6,18,256,57,1,2,3,1
2024-10-07,1791,29,Female,687,8,59,144,92,1,2,4,7
2024-12-14,1959,41,Female,848,9,77,272,125,9,4,9,6
2024-11-14,6109,19,Other,525,5,17,94,165,6,9,1,6
2024-09-23,1213,41,Male,943,6,85,91,147,6,8,2,1
2024-01-02,7368,50,Male,467,4,25,102,165,8,10,2,2
2024-04-15,9619,57,Other,898,9,5,72,102,8,9,2,8
2024-11-23,4389,37,Female,692,4,79,21,153,7,9,10,2
2024-01-12,2560,36,Other,822,7,52,182,31,7,2,6,2
2024-07-29,1661,54,Male,491,3,34,92,96,1,1,5,10
2024-01-24,9595,54,Female,47,1,50,95,104,7,5,2,4
2024-03-06,2394,29,Other,766,1,25,7,99,1,7,10,2
2024-10-19,5648,31,Other,746,6,16,27,65,1,5,1,8
2024-06-12,8062,48,Other,671,10,9,256,132,5,1,9,6
2024-10-10,4192,54,Other,687,1,43,155,110,1,4,2,2
2024-10-19,1281,46,Male,676,5,58,160,178,4,10,4,5
2024-08-29,2239,51,Male,884,8,42,177,150,9,4,7,4
2024-12-01,2969,59,Other,544,7,7,156,95,5,6,2,1
2024-11-06,6238,43,Other,699,1,25,135,46,8,8,9,4
2024-10-15,4072,36,Other,647,5,89,219,62,1,9,9,9
2024-09-01,4230,58,Other,652,4,18,81,140,1,3,1,8
2024-11-05,1454,42,Male,633,7,14,92,160,5,1,3,6
2024-09-23,8010,25,Female,83,9,2,84,25,1,2,6,5
2024-08-08,2177,42,Male,74,4,14,42,175,8,2,5,7
2024-04-16,5431,32,Male,64,4,20,140,18,4,4,5,4
2024-01-27,7894,45,Other,495,2,1,76,131,1,7,10,7
2024-06-07,4654,59,Male,931,4,6,171,119,8,7,6,6
2024-10-03,7869,45,Male,773,8,41,71,151,6,10,5,4
2024-02-19,7807,36,Other,498,4,73,241,68,5,3,2,1
2024-04-28,9853,54,Other,553,10,72,77,76,8,9,2,3
2024-09-19,7780,56,Male,946,3,67,217,101,8,7,4,8
2024-08-16,8843,20,Male,563,9,67,268,48,1,5,5,8
2024-08-17,2735,20,Female,617,6,1,214,171,9,1,3,2
2024-10-12,5211,25,Female,929,9,54,207,105,4,9,7,1
2024-05-15,8123,20,Female,65,8,4,247,107,5,5,4,6
2024-08-18,5895,50,Male,841,2,13,291,150,6,2,9,5
2024-09-14,3496,28,Other,921,2,54,261,162,1,6,5,4
2024-01-12,1560,59,Female,64,8,29,133,66,1,4,9,5
2024-06-11,7721,44,Female,929,2,9,24,24,7,1,4,1
2024-04-19,5917,20,Other,523,5,7,24,78,1,4,2,6
2024-06-08,2884,19,Other,481,3,33,265,88,4,2,8,9
2024-03-23,6448,45,Female,539,1,3,259,102,5,5,7,4
2024-08-08,1419,55,Other,893,3,6,154,91,7,7,5,6
2024-05-12,5481,44,Male,58,10,86,64,12,4,2,5,5
2024-12-03,5268,49,Male,724,5,51,255,116,7,4,2,4
2024-04-21,1593,57,Other,647,6,41,20,41,1,9,1,8
2024-05-08,1571,46,Male,469,8,20,283,33,7,6,8,1
2024-03-19,9080,40,Male,819,1,86,100,7,4,9,7,1
2024-04-18,9599,52,Male,819,10,30,227,138,1,3,7,3
2024-01-28,9754,22,Male,832,10,37,110,111,1,8,8,9
2024-11-24,4009,32,Female,578,4,77,104,168,1,7,2,10
2024-05-28,4747,29,Other,751,5,31,287,31,9,10,1,8
2024-07-01,6784,57,Other,644,2,21,212,171,5,1,8,5
2024-05-01,6341,56,Male,722,5,12,148,125,1,8,7,7
2024-08-23,9789,39,Other,72,2,1,28,179,1,3,7,8
2024-02-13,9652,39,Other,704,6,18,22,156,4,9,5,8
2024-12-27,8353,33,Male,891,4,63,9,148,9,7,2,9
2024-04-21,6132,26,Female,87,1,77,13,120,1,9,4,3
2024-08-10,6110,23,Other,634,4,19,23,153,7,5,6,8
2024-12-24,6891,37,Male,69,3,87,228,79,5,4,4,8
2024-09-10,1161,47,Female,461,3,48,210,149,9,10,6,5
2024-12-21,9623,53,Female,667,2,62,115,112,8,9,6,1
2024-07-16,2283,37,Other,655,7,8,89,143,5,4,10,2
2024-09-15,6068,47,Female,799,3,18,34,45,5,5,5,4
2024-02-18,9895,22,Female,475,7,34,128,23,9,6,9,6
2024-06-22,8531,48,Male,484,10,29,219,134,5,8,10,6
2024-04-15,8896,30,Female,694,8,83,249,106,5,4,2,1
2024-01-07,1671,28,Other,647,10,13,164,57,1,5,3,7
2024-08-05,9100,41,Male,936,9,60,160,177,9,10,9,7
2024-03-26,4062,50,Male,652,9,38,85,176,8,6,6,2
2024-03-05,2537,39,Male,681,3,38,85,75,4,8,6,10
2024-04-08,2727,49,Other,722,4,85,142,119,5,6,4,9
2024-06-16,3105,45,Female,483,3,71,43,96,7,3,6,7
2024-10-05,7744,36,Male,552,10,7,296,163,6,8,7,9
2024-02-16,9078,57,Female,798,2,6,258,26,6,8,6,1
2024-08-07,4200,25,Male,86,5,3,245,18,1,7,1,7
2024-01-21,1669,30,Female,891,7,26,24,130,8,9,4,2
2024-06-02,7788,52,Male,598,6,49,133,59,6,2,9,5
2024-08-03,1587,45,Female,806,8,89,189,160,5,4,2,9
2024-11-02,6433,28,Male,739,1,68,107,138,1,3,1,4
2024-09-28,7049,19,Other,485,7,69,200,147,5,8,7,7
2024-05-07,7659,42,Other,556,3,56,116,45,1,4,1,7
2024-12-20,2787,30,Other,904,7,58,90,97,7,6,4,5
2024-11-23,6661,31,Other,471,8,13,153,101,6,9,3,3
2024-10-01,8880,45,Male,813,7,18,119,165,4,4,8,1
2024-10-12,1264,50,Male,487,9,58,221,40,4,4,8,2
2024-12-26,8804,39,Male,716,1,47,157,11,8,2,5,5
2024-11-20,8851,50,Male,905,4,34,215,64,4,7,8,6
2024-03-16,7317,32,Male,532,6,20,37,19,1,3,4,7
2024-12-13,1771,39,Male,581,8,33,256,71,9,6,6,9
2024-07-28,7716,29,Female,52,10,64,92,108,7,8,3,4
2024-11-07,6808,30,Male,454,8,42,89,38,1,1,10,6
2024-08-20,2800,41,Male,859,5,50,58,166,8,7,3,1
2024-06-16,9210,29,Male,754,1,44,89,102,1,5,8,9
2024-12-12,9365,40,Female,48,4,81,145,67,7,4,2,5
2024-05-26,2774,45,Male,49,9,38,257,28,9,2,3,10
2024-07-28,5658,26,Male,536,6,26,116,1,8,3,8,2
2024-03-21,5008,29,Other,492,10,84,61,48,5,9,7,8
2024-10-20,2819,38,Female,652,7,72,121,29,7,2,3,3
2024-06-04,4243,32,Male,609,10,56,117,99,7,8,7,2
2024-06-04,1006,21,Male,623,4,18,156,145,9,1,1,6
2024-03-04,7468,25,Female,74,6,64,30,131,5,2,5,8
2024-12-09,1442,20,Other,50,6,63,233,50,4,5,10,5
2024-05-01,3172,54,Female,687,6,67,273,112,4,4,1,6
2024-03-08,4236,58,Male,534,5,86,41,97,6,3,10,1
2024-12-06,1382,38,Other,624,8,12,110,97,7,3,1,3
2024-09-08,9017,57,Female,76,5,84,7,27,1,5,4,6
2024-05-26,7207,44,Male,627,6,20,245,138,8,5,1,8
2024-01-20,2960,29,Female,681,4,69,182,101,8,8,7,9
2024-08-29,4536,31,Other,864,4,6,162,47,1,8,4,1
2024-12-02,4935,25,Other,578,5,12,188,30,9,2,6,6
2024-06-19,4906,27,Female,629,2,40,151,34,5,9,3,3
2024-09-20,3841,57,Other,472,4,24,36,0,4,8,8,5
2024-07-06,8295,26,Other,80,8,22,264,33,4,4,6,3
2024-03-12,8938,31,Male,486,3,15,65,167,4,2,10,6
2024-07-06,7465,19,Female,598,2,38,214,119,7,6,7,5
2024-10-21,3368,34,Male,467,3,52,274,56,1,1,7,7
2024-02-01,6565,27,Female,727,4,31,13,177,9,4,5,8
2024-11-30,7846,21,Male,81,7,30,289,81,1,9,1,9
2024-08-28,8161,46,Female,747,1,86,87,49,7,6,5,9
2024-11-15,6276,45,Other,515,9,26,161,171,8,2,3,3
2024-06-25,9389,29,Other,794,10,28,216,119,9,7,5,5
2024-08-22,4607,28,Male,922,9,20,210,139,1,1,5,6
2024-10-30,3587,58,Other,554,3,70,12,140,7,2,9,9
2024-06-14,4893,39,Male,827,2,8,215,7,9,2,3,6
2024-05-28,1539,57,Female,895,3,12,48,117,1,5,5,10
2024-02-15,4748,55,Female,512,10,34,110,101,8,6,4,8
2024-01-29,9931,43,Female,677,1,57,282,169,1,9,2,5
2024-05-13,5063,49,Male,82,7,56,125,11,4,5,4,7
2024-08-15,5402,26,Other,753,8,71,44,58,6,3,9,2
2024-08-13,4276,32,Other,741,8,8,118,132,8,4,2,6
2024-08-20,6690,43,Other,761,10,44,266,103,1,1,1,4
2024-04-11,1215,48,Male,795,2,4,83,51,5,8,6,1
2024-08-13,3783,38,Female,587,6,61,209,77,8,3,6,8
2024-08-22,9811,50,Male,847,6,40,271,67,1,8,10,9
2024-11-27,6258,54,Male,538,6,81,153,133,5,3,2,1
2024-04-16,9436,33,Female,646,10,7,93,64,7,1,4,8
2024-08-29,6973,46,Female,868,4,27,254,170,4,10,8,2
2024-02-24,6722,39,Male,651,10,8,247,154,1,1,9,7
2024-08-28,3451,47,Other,672,10,77,16,17,1,4,5,2
2024-11-19,4008,18,Female,937,7,9,202,40,4,10,1,1
2024-10-04,2772,58,Male,81,8,50,148,98,6,3,3,7
2024-10-29,7297,57,Male,84,10,83,241,115,5,8,9,3
2024-04-21,1614,45,Female,485,3,36,194,110,1,8,4,2
2024-01-24,4075,20,Female,72,8,22,68,94,5,9,9,9
2024-07-06,6445,54,Male,563,6,84,211,2,1,6,4,6
2024-08-26,4240,22,Male,601,5,24,111,154,6,9,6,4
2024-02-08,6141,38,Female,781,7,30,201,31,5,9,1,10
2024-08-01,3832,21,Other,83,6,64,190,50,6,9,8,2
2024-04-13,4854,49,Other,91,7,38,125,56,6,9,9,6
2024-09-18,2363,20,Male,814,7,63,64,80,7,4,4,2
2024-12-04,9234,52,Female,935,7,3,215,58,8,6,9,1
2024-06-16,3240,22,Other,509,3,18,203,79,5,10,9,4
2024-04-04,1451,40,Female,786,5,71,6,118,8,7,3,3
2024-07-28,5595,33,Male,594,5,26,139,144,1,5,9,5
2024-04-27,1887,50,Female,617,6,68,46,166,1,4,6,7
2024-03-19,7358,36,Female,945,8,81,201,104,1,10,10,1
2024-11-17,1517,22,Female,545,4,40,218,176,7,3,10,2
2024-12-10,9399,19,Female,522,7,38,218,156,1,4,9,6
2024-05-27,4554,19,Female,802,6,78,282,9,7,6,9,4
2024-02-28,3555,19,Male,509,9,9,78,58,9,5,8,6
2024-12-21,9801,47,Male,764,4,6,136,163,1,10,4,9
2024-08-24,3093,59,Female,501,2,26,53,177,4,5,9,4
2024-04-02,3426,26,Other,745,1,42,40,169,9,8,7,1
2024-09-01,9342,49,Other,557,5,42,289,39,6,2,3,10
2024-06-09,5426,33,Female,617,2,37,126,18,7,8,3,10
2024-12-23,2014,44,Female,835,1,72,106,88,6,1,6,5
2024-05-16,2873,38,Female,574,6,39,113,106,1,2,2,6
2024-05-18,8352,30,Female,478,6,87,206,128,1,6,2,9
2024-04-11,6103,46,Male,921,2,70,108,46,9,3,4,5
2024-05-08,1195,29,Other,718,5,60,51,87,1,7,7,5
2024-02-05,7121,59,Female,888,5,60,136,5,8,3,7,6
2024-04-27,1086,34,Other,657,6,72,284,164,7,4,7,1
2024-09-03,4687,38,Female,845,6,32,208,125,5,10,3,10
2024-05-17,9306,53,Female,754,7,46,245,126,5,8,8,9
2024-06-23,4360,50,Other,656,10,64,140,128,9,1,5,7
2024-05-07,5951,43,Male,646,1,66,6,57,8,5,1,1
2024-03-02,7314,42,Other,73,5,31,281,123,1,6,9,8
2024-11-07,4904,46,Male,552,3,70,205,156,5,2,9,3
2024-05-18,4764,47,Male,901,2,7,21,5,7,9,8,4
2024-11-30,9923,35,Female,945,4,63,220,122,4,3,3,3
2024-06-30,9397,57,Other,682,4,74,121,106,1,2,1,9
2024-12-13,1670,51,Male,474,4,7,200,57,1,7,10,4
2024-07-27,6330,46,Other,547,6,28,214,130,7,10,4,10
2024-09-01,4645,59,Female,806,8,58,39,129,7,10,1,10
2024-01-02,7539,43,Other,666,6,66,165,60,6,5,10,4
2024-10-04,4046,32,Other,83,6,87,203,160,7,1,5,6
2024-03-10,5500,49,Other,765,2,47,216,55,5,8,8,7
2024-04-13,5172,55,Female,575,6,37,175,26,1,10,3,3
2024-12-16,7396,30,Male,896,5,53,290,85,4,8,2,1
2024-12-21,7047,32,Other,919,5,84,124,137,7,4,3,2
2024-03-14,1572,42,Other,64,2,54,27,58,7,5,2,4
2024-09-02,6232,59,Female,477,2,26,54,119,1,5,5,7
2024-02-28,3904,58,Female,528,7,3,192,142,5,6,6,2
2024-07-27,5749,37,Female,755,8,19,221,165,8,8,10,2
2024-10-19,3789,19,Female,746,8,42,149,147,4,8,10,1
2024-05-07,3387,33,Female,556,8,47,154,87,1,9,3,3
2024-07-30,2257,34,Other,759,5,19,230,52,1,1,1,10
2024-12-15,7034,28,Female,555,2,19,49,101,1,4,5,4
2024-10-19,9775,57,Other,613,8,55,59,137,6,1,4,4
2024-04-10,6457,55,Other,491,2,30,10,45,1,5,6,10
2024-05-07,7381,41,Other,537,7,16,64,56,9,5,8,2
2024-09-21,6208,35,Other,782,10,14,166,12,1,9,8,4
2024-08-05,8124,35,Male,696,6,82,248,47,7,7,7,4
2024-07-05,3535,30,Male,538,3,76,187,89,1,6,4,7
2024-03-12,2695,55,Other,543,3,27,130,149,8,6,8,7
2024-03-12,5482,29,Male,737,5,61,126,168,6,5,10,4
2024-01-13,3985,37,Male,583,1,14,272,151,7,2,7,8
2024-09-20,1314,43,Other,684,1,27,188,15,8,6,2,1
2024-10-12,1870,30,Female,864,5,20,111,54,9,3,4,9
2024-06-28,3761,48,Male,589,9,51,136,110,5,3,2,9
2024-10-14,2806,29,Male,907,8,71,154,11,7,8,10,3
2024-05-18,8850,48,Male,728,5,84,55,133,6,6,5,3
2024-11-05,6831,58,Male,623,1,20,114,62,4,7,1,6
2024-05-26,2051,19,Female,892,4,85,217,176,6,10,4,10
2024-10-14,4176,53,Other,847,3,55,283,128,4,8,1,8
2024-07-26,7513,21,Female,496,8,75,286,118,1,9,2,3
2024-09-06,7653,59,Male,827,10,82,151,4,4,1,3,9
2024-06-29,7305,40,Other,829,4,86,175,111,6,9,2,3
2024-05-28,6552,39,Male,508,10,51,24,20,8,10,5,6
2024-04-22,8279,40,Other,86,6,22,191,39,7,9,4,1
2024-07-18,7646,28,Male,499,5,54,36,55,4,6,5,9
2024-02-28,8616,57,Other,716,7,89,204,122,9,6,10,9
2024-04-12,4806,38,Other,508,9,75,277,39,1,1,1,9
2024-07-09,7837,59,Male,488,3,79,7,174,4,6,10,1
2024-06-14,5591,31,Male,561,8,60,142,53,1,1,5,8
2024-06-11,8984,40,Male,919,10,19,197,58,9,2,4,1
2024-09-05,5621,31,Male,508,3,62,238,162,4,3,4,4
2024-06-11,9095,57,Male,90,2,64,287,163,7,10,5,4
2024-10-22,9378,33,Female,56,2,30,258,135,8,9,7,2
2024-09-20,7726,56,Female,593,10,17,196,116,7,2,7,5
2024-12-15,9069,21,Male,576,2,14,95,5,6,3,10,1
2024-04-05,6054,21,Male,623,6,69,290,21,5,6,7,10
2024-01-03,8483,29,Other,665,9,72,278,82,1,5,4,7
2024-01-30,3971,51,Male,671,10,77,93,118,1,9,3,4
2024-02-17,8905,27,Other,865,6,44,208,125,1,9,10,2
2024-02-23,6450,33,Male,879,10,15,261,107,6,10,4,7
2024-09-02,7785,43,Other,733,8,6,190,110,8,8,1,1
2024-10-18,9711,22,Female,675,5,29,150,143,6,7,4,5
2024-10-11,5290,32,Other,531,10,20,63,164,1,4,4,9
2024-11-21,5926,53,Female,79,5,53,29,44,6,2,6,4
2024-01-22,1691,53,Male,656,6,78,147,8,8,2,2,5
2024-12-08,7781,28,Male,467,2,76,297,136,5,7,4,3
2024-06-07,6308,48,Other,834,4,9,129,59,9,7,5,8
2024-05-08,6002,38,Other,859,1,74,46,105,1,10,8,4
2024-04-17,7553,28,Female,873,3,26,181,48,9,6,4,6
2024-10-10,5873,59,Male,824,10,46,245,21,4,2,9,2
2024-06-08,6593,42,Female,513,10,72,9,95,1,4,7,2
2024-11-16,2409,48,Male,475,5,27,124,102,8,10,5,2
2024-08-03,4981,51,Female,522,4,44,21,126,9,4,8,9
2024-04-05,8697,55,Other,828,5,67,148,103,5,7,6,1
2024-03-27,3364,24,Female,497,9,53,43,97,6,4,7,8
2024-09-12,7010,31,Other,457,3,16,82,109,4,7,8,4
2024-10-17,1325,42,Other,754,9,71,246,128,6,7,7,6
2024-12-09,5042,46,Female,948,3,64,57,110,6,2,4,6
2024-01-08,3076,50,Other,783,4,19,72,166,1,6,3,6
2024-06-21,9362,30,Male,592,4,52,42,41,8,3,10,7
2024-10-25,8244,45,Male,479,7,50,267,10,9,6,2,3
2024-08-17,9105,45,Male,722,4,46,262,10,1,4,9,10
2024-12-23,9106,54,Female,912,9,53,115,117,9,1,7,10
2024-01-11,8382,40,Female,935,10,24,53,28,6,4,3,1
2024-07-26,2773,47,Male,676,9,50,105,46,8,6,4,10
2024-11-15,7360,59,Other,927,9,73,137,134,8,2,6,4
2024-06-09,3560,51,Male,799,4,0,70,177,1,3,8,8
2024-10-18,9947,44,Female,536,3,46,250,30,8,1,7,10
2024-02-08,4715,47,Female,846,4,17,89,0,6,10,7,10
2024-08-24,7533,23,Female,661,5,29,248,169,7,5,6,7
2024-09-02,1404,29,Other,733,5,14,257,179,4,6,2,3
2024-05-14,1421,54,Female,474,10,10,67,122,8,1,2,8
2024-01-22,2473,23,Female,749,7,15,166,155,7,3,7,1
2024-09-21,5524,39,Male,832,10,38,270,156,4,3,3,10
2024-12-13,9220,32,Other,649,3,66,7,121,5,4,3,5
2024-02-14,9022,33,Male,551,5,70,14,70,4,9,6,8
2024-04-22,3313,33,Female,676,2,11,187,153,1,9,4,9
2024-10-05,6649,30,Other,488,9,50,55,154,1,9,8,4
2024-08-07,8235,51,Other,725,8,47,93,172,5,9,4,6
2024-12-03,9558,35,Female,506,2,54,202,146,1,5,10,6
2024-02-14,5658,39,Other,547,7,59,186,32,1,4,1,5
2024-04-08,1126,52,Female,734,6,15,27,162,7,8,7,7
2024-08-01,5180,43,Male,554,7,63,157,76,8,7,1,5
2024-11-08,6014,44,Male,485,8,50,169,134,1,4,6,9
2024-09-01,3156,48,Male,755,1,86,147,100,1,1,9,2
2024-01-25,9488,23,Other,496,2,39,258,116,7,8,3,2
2024-08-28,8036,41,Male,548,1,88,225,146,1,9,6,3
2024-11-24,8209,36,Male,549,7,17,33,88,8,6,5,10
2024-03-10,8016,56,Other,709,4,17,87,124,1,4,8,9
2024-04-18,7297,21,Male,527,4,68,246,4,8,2,2,4
2024-04-18,6214,58,Other,479,5,10,98,41,1,8,5,10
2024-03-13,1198,19,Female,555,8,63,150,156,6,3,5,7
2024-08-10,7232,48,Female,477,2,24,12,121,8,10,7,6
2024-07-13,3933,37,Male,653,3,61,143,127,1,4,9,7
2024-02-04,7326,31,Male,771,3,48,143,110,6,3,8,2
2024-08-07,7738,59,Male,879,10,33,35,152,1,2,7,6
2024-10-11,4197,42,Other,773,10,27,74,165,4,3,10,5
2024-02-23,2894,47,Other,923,6,58,108,128,8,8,8,6
2024-07-14,1378,20,Female,88,1,79,229,171,5,10,5,1
2024-06-26,6603,54,Male,68,5,47,223,2,9,3,4,1
2024-01-24,6969,31,Female,931,2,35,246,7,9,9,2,8
2024-12-17,2907,30,Male,629,9,81,191,152,5,8,6,2
2024-07-27,5435,38,Male,548,2,42,272,79,6,2,4,5
2024-12-15,7468,22,Other,552,5,41,184,65,4,4,6,6
2024-10-04,3721,46,Female,888,7,64,96,0,4,4,2,1
2024-10-10,2128,53,Female,566,2,87,55,112,7,2,6,1
2024-08-16,9362,56,Male,881,7,53,285,97,7,3,7,8
2024-05-25,8942,57,Female,719,1,51,284,148,8,9,10,3
2024-07-02,4199,37,Other,604,1,23,82,62,4,3,6,4
2024-05-05,7568,59,Female,62,2,16,293,141,9,8,6,3
2024-02-25,2910,36,Male,905,1,51,197,164,5,1,5,5
2024-01-16,9683,57,Female,835,10,63,170,16,1,7,7,5
2024-11-22,3155,32,Female,647,7,18,1,9,5,1,5,6
2024-05-29,7943,58,Male,724,6,82,44,96,4,10,7,10
